,precision,recall,f1-score,support
Normal,0.7910518424998028,0.7125595280403725,0.7497569366539526,28138.0
Fault,0.1912290200324851,0.9645002730748226,0.31917585396710646,3662.0
Attack,0.9592868251499667,0.5753164556962025,0.7192653673163418,30020.0
accuracy,0.6608379165318667,0.6608379165318667,0.6608379165318667,0.6608379165318667
macro avg,0.6471892292274182,0.7507920856037992,0.5960660526458003,61820.0
weighted avg,0.8372159156683988,0.6608379165318667,0.7094440146818675,61820.0
